 Unit,Property,Floorplan,Beds,Baths,Min Rent,Max Rent,Ready On,Active On,Lock ID,Waitlist Unit,Model Unit 
"609","Waterford Landings","A2","1","1","1110","1110","8/8/2025","8/21/2025","","No","No" 
"711","Waterford Landings","B1","2","2","1305","1305","8/10/2025","9/15/2025","","No","No" 
"505","Waterford Landings","C1","3","2","1547","1547","8/11/2025","8/8/2025","","No","No" 
"102","Waterford Landings","C1","3","2","1435","1435","8/11/2025","8/21/2025","","No","No" 
"1415","Waterford Landings","C1.2","3","2","1455","1455","8/13/2025","N/A","","No","No" 
"211","Waterford Landings","B1","2","2","1305","1305","8/14/2025","8/11/2025","","No","No" 
"808","Waterford Landings","B1","2","2","1305","1305","8/15/2025","8/11/2025","","No","No" 
"1724","Waterford Landings","A2.2","1","1","1136","1136","8/18/2025","8/14/2025","","No","No" 
"1704","Waterford Landings","A2.2","1","1","1136","1136","8/22/2025","10/29/2024","","No","No" 
"413","Waterford Landings","C1","3","2","1450","1450","8/25/2025","8/21/2025","","No","No" 
"908","Waterford Landings","B1","2","2","1305","1305","8/29/2025","8/26/2025","","No","No" 
"1215","Waterford Landings","B1","2","2","1305","1305","9/3/2025","8/28/2025","","No","No" 
"820","Waterford Landings","A1","1","1","1005","1005","9/4/2025","N/A","","No","No" 
"1120","Waterford Landings","A1","1","1","1005","1005","9/5/2025","N/A","","No","No" 
"217","Waterford Landings","B1","2","2","1305","1305","9/6/2025","N/A","","No","No" 
"1623","Waterford Landings","A2.2","1","1","1136","1136","9/7/2025","9/2/2025","","No","No" 
"1001","Waterford Landings","A2","1","1","1100","1100","9/7/2025","9/2/2025","","No","No" 
"1217","Waterford Landings","C1","3","2","1405","1405","9/8/2025","12/8/2025","","No","No" 
"1708","Waterford Landings","A2.2","1","1","1136","1136","9/12/2025","9/7/2025","","No","No" 
"804","Waterford Landings","B1-P","2","2","1467","1467","9/14/2025","9/11/2025","","No","No" 
"1411","Waterford Landings","B1.2","2","2","1350","1350","9/15/2025","9/11/2025","","No","No" 
"1403","Waterford Landings","B1.2","2","2","1350","1350","9/17/2025","9/11/2025","","No","No" 
"313","Waterford Landings","C1","3","2","1470","1470","9/18/2025","9/15/2025","","No","No" 
"117","Waterford Landings","C1-P","3","2","1685","1685","9/18/2025","9/15/2025","","No","No" 
"301","Waterford Landings","C1","3","2","1405","1405","9/19/2025","9/18/2025","","No","No" 
"602","Waterford Landings","A2","1","1","1105","1105","9/21/2025","9/17/2025","","No","No" 
"411","Waterford Landings","B1-P","2","2","1450","1450","9/25/2025","12/8/2025","","No","No" 
"1116","Waterford Landings","B1","2","2","1305","1305","9/26/2025","N/A","","No","No" 
"1323","Waterford Landings","A3","1","1","1232","1232","9/27/2025","9/24/2025","","No","No" 
"515","Waterford Landings","B1","2","2","1305","1305","9/27/2025","9/24/2025","","No","No" 
"1512","Waterford Landings","B1.2","2","2","1350","1350","9/27/2025","9/24/2025","","No","No" 
"1721","Waterford Landings","A2.2","1","1","1136","1136","10/6/2025","9/30/2025","","No","No" 
"620","Waterford Landings","A1","1","1","1005","1005","10/6/2025","10/6/2025","","No","No" 
"1016","Waterford Landings","B1","2","2","1350","1350","10/6/2025","10/29/2025","","No","No" 
"1614","Waterford Landings","A2.2","1","1","1136","1136","10/6/2025","N/A","","No","No" 
"1009","Waterford Landings","A2","1","1","1090","1090","10/7/2025","11/2/2025","","No","No" 
"613","Waterford Landings","A1-P","1","1","1120","1120","10/7/2025","10/2/2025","","No","No" 
"510","Waterford Landings","B1","2","2","1305","1305","10/9/2025","10/6/2025","","No","No" 
"404","Waterford Landings","B1","2","2","1320","1320","10/16/2025","10/14/2025","","No","No" 
"1420","Waterford Landings","C1.2","3","2","1455","1455","10/17/2025","10/24/2025","","No","No" 
"1520","Waterford Landings","C1.2","3","2","1455","1455","10/18/2025","10/14/2025","","No","No" 
"1711","Waterford Landings","A2.2","1","1","1136","1136","10/21/2025","10/16/2025","","No","No" 
"1005","Waterford Landings","A2","1","1","1086","1086","10/21/2025","11/8/2025","","No","No" 
"1610","Waterford Landings","A1.2","1","1","1015","1015","10/21/2025","10/15/2025","","No","No" 
"517","Waterford Landings","C1","3","2","1405","1405","10/21/2025","10/15/2025","","No","No" 
"718","Waterford Landings","A2","1","1","1086","1086","11/1/2025","10/26/2025","","No","No" 
"1118","Waterford Landings","A2","1","1","1100","1100","11/3/2025","4/3/2025","","No","No" 
"1409","Waterford Landings","A3","1","1","1232","1232","11/3/2025","10/29/2025","","No","No" 
"813","Waterford Landings","A1","1","1","1020","1020","11/4/2025","10/29/2025","","No","No" 
"213","Waterford Landings","B1","2","2","1305","1305","11/5/2025","10/17/2025","","No","No" 
"209","Waterford Landings","A2","1","1","1086","1086","11/9/2025","11/6/2025","","No","No" 
"610","Waterford Landings","B1","2","2","1305","1305","11/10/2025","11/4/2025","","No","No" 
"1505","Waterford Landings","C1.2","3","2","1455","1455","11/12/2025","11/7/2025","","No","No" 
"919","Waterford Landings","B1","2","2","1305","1305","11/14/2025","11/8/2025","","No","No" 
"904","Waterford Landings","B1","2","2","1313","1313","11/18/2025","11/19/2025","","No","No" 
"716","Waterford Landings","B1-P","2","2","1490","1490","11/18/2025","11/12/2025","","No","No" 
"720","Waterford Landings","A1","1","1","1005","1005","11/19/2025","11/14/2025","","No","No" 
"709","Waterford Landings","A2","1","1","1086","1086","11/20/2025","11/14/2025","","No","No" 
"1322","Waterford Landings","B1.2","2","2","1350","1350","11/23/2025","11/17/2025","","No","No" 
"1609","Waterford Landings","A1.2","1","1","1015","1015","11/23/2025","11/17/2025","","No","No" 
"1506","Waterford Landings","C1.2","3","2","1455","1455","11/23/2025","11/17/2025","","No","No" 
"1422","Waterford Landings","B1.2","2","2","1350","1350","11/25/2025","11/19/2025","","No","No" 
"608","Waterford Landings","B1","2","2","1305","1305","11/29/2025","11/24/2025","","No","No" 
"1312","Waterford Landings","B1.2","2","2","1350","1350","11/30/2025","11/24/2025","","No","No" 
"311","Waterford Landings","B1","2","2","1305","1305","12/6/2025","N/A","","No","No" 
"109","Waterford Landings","B1","2","2","1305","1305","12/7/2025","12/1/2025","","No","No" 
"611","Waterford Landings","B1","2","2","1305","1305","12/7/2025","4/8/2025","","No","No" 
"901","Waterford Landings","A2","1","1","1100","1100","12/7/2025","12/2/2025","","No","No" 
"224","Waterford Landings","A2","1","1","1086","1086","12/7/2025","12/1/2025","","No","No" 
"1407","Waterford Landings","B1.2","2","2","1350","1350","12/7/2025","12/1/2025","","No","No" 
"410","Waterford Landings","B1","2","2","1305","1305","12/7/2025","12/2/2025","","No","No" 
"319","Waterford Landings","B1","2","2","1305","1305","12/10/2025","7/22/2025","","No","No" 
"221","Waterford Landings","B1","2","2","1305","1305","12/11/2025","12/8/2025","","No","No" 
"308","Waterford Landings","B1","2","2","1305","1305","12/11/2025","12/8/2025","","No","No" 
"1622","Waterford Landings","A2.2","1","1","1136","1136","12/22/2025","11/27/2024","","No","No" 
"520","Waterford Landings","B1","2","2","1305","1305","12/22/2025","3/11/2025","","No","No" 
"206","Waterford Landings","A2","1","1","1086","1086","12/23/2025","4/24/2025","","No","No" 
"111","Waterford Landings","B1","2","2","1330","1330","12/24/2025","12/16/2024","","No","No" 
"818","Waterford Landings","A2","1","1","1086","1086","12/27/2025","4/18/2025","","No","No" 
"108","Waterford Landings","B1","2","2","1305","1305","12/29/2025","N/A","","No","No" 
"1103","Waterford Landings","B1","2","2","1305","1305","1/4/2026","4/29/2025","","No","No" 
"1517","Waterford Landings","B1.2","2","2","1350","1350","1/5/2026","5/23/2025","","No","No" 
"1313","Waterford Landings","B1.2","2","2","1350","1350","1/5/2026","N/A","","No","No" 
"712","Waterford Landings","B1","2","2","1524","1524","1/15/2026","N/A","","No","No" 
"1601","Waterford Landings","A1.2","1","1","1015","1015","1/17/2026","N/A","","No","No" 
"409","Waterford Landings","B1","2","2","1305","1305","1/19/2026","7/25/2025","","No","No" 
"1006","Waterford Landings","A2","1","1","1090","1090","1/21/2026","N/A","","No","No" 
"1619","Waterford Landings","A2.2","1","1","1136","1136","1/22/2026","N/A","","No","No" 
"1608","Waterford Landings","A2.2","1","1","1136","1136","1/24/2026","8/19/2025","","No","No" 
"504","Waterford Landings","B1","2","2","1305","1305","1/24/2026","4/30/2025","","No","No" 
"1109","Waterford Landings","A2","1","1","1086","1086","1/26/2026","6/28/2025","","No","No" 
"1607","Waterford Landings","A2.2","1","1","1136","1136","2/6/2026","6/30/2025","","No","No" 
"614","Waterford Landings","A2","1","1","1120","1120","2/7/2026","N/A","","No","No" 
"1309","Waterford Landings","A3","1","1","1232","1232","2/14/2026","5/22/2025","","No","No" 
"1710","Waterford Landings","A1.2","1","1","1015","1015","2/16/2026","N/A","","No","No" 
