 Unit,Property,Floorplan,Beds,Baths,Min Rent,Max Rent,Ready On,Active On,Lock ID,Waitlist Unit,Model Unit 
"801","Waterford Landings","A2","1","1","1100","1100","N/A","N/A","","No","No" 
"1302","Waterford Landings","C1.2","3","2","1455","1455","10/19/2024","10/16/2024","","No","No" 
"512","Waterford Landings","B1","2","2","1305","1305","10/25/2024","10/22/2024","","No","No" 
"1518","Waterford Landings","B1.2","2","2","1350","1350","10/28/2024","10/22/2024","","No","No" 
"1110","Waterford Landings","B1","2","2","1305","1305","10/30/2024","10/24/2024","","No","No" 
"103","Waterford Landings","B1.2","2","2","1350","1350","10/31/2024","10/16/2024","","No","No" 
"1524","Waterford Landings","A3","1","1","1232","1232","11/1/2024","1/15/2025","","No","No" 
"310","Waterford Landings","B1","2","2","1305","1305","11/6/2024","10/31/2024","","No","No" 
"815","Waterford Landings","B1","2","2","1305","1305","11/7/2024","N/A","","No","No" 
"1418","Waterford Landings","B1.2","2","2","1350","1350","11/15/2024","N/A","","No","No" 
"605","Waterford Landings","A2","1","1","1086","1086","11/19/2024","12/16/2024","","No","No" 
"615","Waterford Landings","B1","2","2","1305","1305","11/25/2024","11/20/2024","","No","No" 
"417","Waterford Landings","C1","3","2","1405","1405","11/28/2024","11/22/2024","","No","No" 
"812","Waterford Landings","B1","2","2","1305","1305","12/2/2024","11/26/2024","","No","No" 
"202","Waterford Landings","A2","1","1","1100","1100","12/3/2024","11/13/2024","","No","No" 
"104","Waterford Landings","B1-P","2","2","1450","1450","12/7/2024","12/2/2024","","No","No" 
"503","Waterford Landings","B1","2","2","1330","1330","12/7/2024","12/1/2024","","No","No" 
"1501","Waterford Landings","C1.2","3","2","1455","1455","12/7/2024","12/2/2024","","No","No" 
"1315","Waterford Landings","C1.2","3","2","1455","1455","12/7/2024","3/26/2025","","No","No" 
"1106","Waterford Landings","A2","1","1","1090","1090","12/7/2024","1/30/2025","","No","No" 
"1612","Waterford Landings","A2.2","1","1","1136","1136","12/8/2024","12/3/2024","","No","No" 
"1513","Waterford Landings","B1.2","2","2","1350","1350","12/13/2024","1/9/2025","","No","No" 
"802","Waterford Landings","A2-P","1","1","1187","1187","12/16/2024","1/13/2025","","No","No" 
"518","Waterford Landings","C1","3","2","1405","1405","12/31/2024","10/16/2024","","No","No" 
"418","Waterford Landings","C1","3","2","1405","1405","12/31/2024","10/16/2024","","No","No" 
"1417","Waterford Landings","B1.2","2","2","1350","1350","1/6/2025","N/A","","No","No" 
"1621","Waterford Landings","A2.2","1","1","1136","1136","1/11/2025","1/14/2025","","No","No" 
"101","Waterford Landings","C1","3","2","1430","1430","1/15/2025","12/30/2024","","No","No" 
"318","Waterford Landings","C1","3","2","1405","1405","1/17/2025","10/16/2024","","No","No" 
"506","Waterford Landings","C1-P","3","2","1705","1705","1/18/2025","10/16/2024","","No","No" 
"1305","Waterford Landings","C1.2","3","2","1455","1455","1/18/2025","11/26/2024","","No","No" 
"113","Waterford Landings","C1","3","2","1455","1455","1/18/2025","10/16/2024","","No","No" 
"807","Waterford Landings","B1","2","2","1305","1305","1/22/2025","7/24/2025","","No","No" 
"803","Waterford Landings","B1","2","2","1305","1305","1/24/2025","1/21/2025","","No","No" 
"1717","Waterford Landings","A2.2","1","1","1136","1136","1/24/2025","1/21/2025","","No","No" 
"612","Waterford Landings","B1","2","2","1335","1335","2/3/2025","1/31/2025","","No","No" 
"509","Waterford Landings","B1","2","2","1305","1305","2/5/2025","7/15/2025","","No","No" 
"910","Waterford Landings","B1","2","2","1305","1305","2/6/2025","1/31/2025","","No","No" 
"806","Waterford Landings","A2","1","1","1090","1090","2/6/2025","N/A","","No","No" 
"710","Waterford Landings","B1","2","2","1305","1305","2/9/2025","2/6/2025","","No","No" 
"1011","Waterford Landings","B1","2","2","1330","1330","2/15/2025","2/11/2025","","No","No" 
"1304","Waterford Landings","B1.2","2","2","1350","1350","2/16/2025","2/12/2025","","No","No" 
"603","Waterford Landings","B1","2","2","1305","1305","2/20/2025","3/6/2025","","No","No" 
"1015","Waterford Landings","B1","2","2","1305","1305","2/27/2025","6/27/2025","","No","No" 
"1317","Waterford Landings","B1.2","2","2","1350","1350","3/5/2025","9/2/2025","","No","No" 
"1502","Waterford Landings","C1.2","3","2","1455","1455","3/6/2025","N/A","","No","No" 
"903","Waterford Landings","B1","2","2","1305","1305","3/7/2025","3/3/2025","","No","No" 
"1114","Waterford Landings","A2","1","1","1100","1100","3/7/2025","3/4/2025","","No","No" 
